NCL Function,Description,Python Equivalent,Notes
<a href="https://www.ncl.ucar.edu/Document/Functions/Built-in/sin.shtml"><code>sin()</code></a>, Computes the sine of numeric types, <code>math.sin()</code> or <code>numpy.sin()</code>, <a href="../ncl_entries/trigonometry.ipynb#sin">example notebook</a>
<a href="https://www.ncl.ucar.edu/Document/Functions/Built-in/cos.shtml"><code>cos()</code></a>, Computes the cosine of numeric types, <code>math.cos()</code> or <code>numpy.cos()</code>, <a href="../ncl_entries/trigonometry.ipynb#cos">example notebook</a>
<a href="https://www.ncl.ucar.edu/Document/Functions/Built-in/tan.shtml"><code>tan()</code></a>, Computes the tangent of numeric types,  <code>math.tan()</code> or <code>numpy.tan()</code>, <a href="../ncl_entries/trigonometry.ipynb#tan">example notebook</a>
